Video,Frame,Dominant Emotion,Dominant Emotion Percentage,angry,disgust,fear,happy,sad,surprise,neutral
3.mp4,3.mp4_frame_0240.jpg,sad,65.95638584570716,6.264817716457571,4.3169154112790576e-05,6.828935513369502,0.002864480280052848,65.95638584570716,0.013555017518850269,20.933399609732582
3.mp4,3.mp4_frame_0254.jpg,neutral,99.94996189772856,2.4606407788892403e-10,4.773244797554457e-19,0.04634712225870772,2.3596978556531688e-08,0.003689239603570974,1.4117455442636115e-09,99.94996189772856
3.mp4,3.mp4_frame_0081.jpg,fear,80.53439855575562,0.11806929251179099,9.855403959591058e-06,80.53439855575562,0.5277726799249649,0.09755996288731694,18.711435794830322,0.010756217670859769
3.mp4,3.mp4_frame_0095.jpg,neutral,90.4920350918728,1.872456668546292e-05,2.129135643723552e-14,4.190416507075249,1.3701197830556883e-05,5.317348725515756,0.00016212035575386902,90.4920350918728
2.mp4,2.mp4_frame_0110.jpg,neutral,99.94318484921365,0.0019248672525901387,7.030975613495226e-12,0.005579660833671962,6.042784966208744e-08,0.04928863202638221,2.2828800123177866e-05,99.94318484921365
2.mp4,2.mp4_frame_0104.jpg,neutral,99.92560744285583,0.00024496214336977573,1.2344803185324743e-11,0.0017226637282874435,4.470874781503653e-07,0.07232768111862242,9.566560947860125e-05,99.92560744285583
3.mp4,3.mp4_frame_0042.jpg,fear,65.18553314381442,0.008847974495691493,3.983955295608488e-12,65.18553314381442,7.742487949276773e-08,12.977172377446607,9.777537613048108e-07,21.828441699929034
2.mp4,2.mp4_frame_0138.jpg,neutral,90.27473330497742,0.38261336740106344,4.6340410619905015e-06,4.918862506747246,0.0020039678929606453,4.421021789312363,0.0007587902473460417,90.27473330497742
3.mp4,3.mp4_frame_0056.jpg,fear,50.00973045883956,0.006364115340219235,1.956429519860495e-11,50.00973045883956,5.901368634683508e-07,7.374445788529264,3.849925123912447e-05,42.60941997822642
3.mp4,3.mp4_frame_0040.jpg,neutral,68.51312926489885,0.006197222324900542,2.32348029188408e-12,18.491893618815755,2.1522778176902685e-07,12.988781213091684,2.5005652373711596e-07,68.51312926489885
3.mp4,3.mp4_frame_0054.jpg,fear,78.7261690227784,0.005214279841815289,1.9798486456652205e-12,78.7261690227784,4.052627194775469e-08,8.098661679189005,2.5943269326547854e-06,13.169953147178513
2.mp4,2.mp4_frame_0112.jpg,neutral,99.44936629828014,0.014934980735032603,9.538830364044298e-10,0.06294746792748379,1.671004878591055e-07,0.4726709614050961,8.093983779369701e-05,99.44936629828014
3.mp4,3.mp4_frame_0068.jpg,neutral,76.77640914916992,0.010397160804132,7.452258753669339e-11,14.61719423532486,1.0019565621632864e-06,8.5959292948246,7.175166274464573e-05,76.77640914916992
2.mp4,2.mp4_frame_0106.jpg,neutral,99.96102452742761,0.0005818500301172688,3.0652709244221207e-12,0.0034112304573529414,2.8892326750751304e-08,0.03493355054269129,4.470711054650529e-05,99.96102452742761
3.mp4,3.mp4_frame_0083.jpg,fear,92.89300441741943,1.8647268414497375,0.0015370664186775684,92.89300441741943,0.4492101725190878,1.0822749696671963,0.8088420145213604,2.900404669344425
3.mp4,3.mp4_frame_0097.jpg,sad,87.50717043876648,0.00019314272776682628,1.3219160961500747e-15,6.881704181432724,1.0870387967543138e-05,87.50717043876648,6.373745975452039e-07,5.610917508602142
3.mp4,3.mp4_frame_0242.jpg,sad,76.27827525138855,6.826271116733551,0.001079118919733446,3.108806163072586,0.0017723043129080907,76.27827525138855,0.013000414764974266,13.770794868469238
3.mp4,3.mp4_frame_0524.jpg,fear,90.60664772987366,2.132992094061592e-06,1.6447222019245382e-13,90.60664772987366,0.0035886965633835644,0.1645421958528459,0.06903376779519022,9.156186133623123
3.mp4,3.mp4_frame_0256.jpg,neutral,61.55506372451782,6.89849066759507e-08,1.5046204028795057e-11,37.047916650772095,2.2083728623556453e-06,1.3970163650810719,5.074445030839314e-09,61.55506372451782
3.mp4,3.mp4_frame_0518.jpg,angry,50.25840401649475,50.25840401649475,0.010973161261063069,4.7247737646102905,0.43178992345929146,19.372527301311493,0.08117178222164512,25.120356678962708
1.mp4,1.mp4_frame_0089.jpg,angry,85.6458306312561,85.6458306312561,5.311983954925381e-05,0.12482837773859501,0.0040057479054667056,0.667542265728116,0.027059990679845214,13.530679047107697
3.mp4,3.mp4_frame_0281.jpg,sad,86.49985194206238,3.286646732547638e-07,4.348288964227519e-15,0.09610322886146605,1.8397011913862116e-06,86.49985194206238,2.5963237636206227e-11,13.404041528701782
1.mp4,1.mp4_frame_0062.jpg,angry,93.21993548988911,93.21993548988911,1.8630161635834404e-06,0.006543027510637195,6.175478488072402e-05,0.2334266108826763,0.0014319614764144964,6.538608314908046
1.mp4,1.mp4_frame_0076.jpg,angry,51.72816514968872,51.72816514968872,0.006217124609975144,10.03950908780098,0.022676121443510056,6.755302846431732,0.43426603078842163,31.013861298561096
4.mp4,4.mp4_frame_0028.jpg,sad,90.26246666908264,0.4331153817474842,1.4594485264751711e-05,9.208355098962784,0.004837103551835753,90.26246666908264,0.03719069354701787,0.054023065604269505
3.mp4,3.mp4_frame_0295.jpg,neutral,71.17452025413513,0.16131409211084247,0.00015283465018001152,2.5095686316490173,8.383705466985703,17.18234270811081,0.5884035956114531,71.17452025413513
4.mp4,4.mp4_frame_0000.jpg,sad,92.62533783912659,2.53684613853693,1.414214381156853e-05,3.7209581583738327,4.6007610876586114e-05,92.62533783912659,1.5771738048897532e-05,1.1167830787599087
4.mp4,4.mp4_frame_0014.jpg,sad,92.21488237380981,1.5102489851415157,3.6711611528517096e-05,5.857367813587189,9.034092727233656e-05,92.21488237380981,1.3580590518813551e-05,0.4173627123236656
3.mp4,3.mp4_frame_0336.jpg,sad,69.30625438690186,0.6957736797630787,8.288242980825089e-07,0.3851659828796983,7.028581876511453e-05,69.30625438690186,0.00018338274685447686,29.612550139427185
3.mp4,3.mp4_frame_0450.jpg,angry,65.6762421131134,65.6762421131134,0.08099130354821682,7.902058959007263,0.00027684602628141874,23.903653025627136,0.0010499080417503137,2.435733564198017
3.mp4,3.mp4_frame_0444.jpg,sad,85.32670140266418,3.840355947613716,8.313218131661415e-05,1.2319138273596764,4.900815042674367e-05,85.32670140266418,3.913147281764395e-05,9.600850939750671
